Date_T,Stock,0,1,2,3,4
2018-07-01,AABA,0.0,0.0,1.0,0.0,0.0
2018-07-01,AAL,0.0,1.0,1.0,2.0,1.0
2018-07-01,AAP,0.0,1.0,0.0,0.0,0.0
2018-07-01,AAPL,1.0,2.0,29.0,4.0,2.0
2018-07-01,ABBV,2.0,0.0,0.0,0.0,1.0
2018-07-01,ABT,0.0,0.0,2.0,0.0,0.0
2018-07-01,ACN,0.0,1.0,2.0,0.0,0.0
2018-07-01,ADBE,0.0,0.0,0.0,1.0,1.0
2018-07-01,ADI,0.0,0.0,1.0,0.0,0.0
2018-07-01,ADM,0.0,1.0,0.0,0.0,0.0
2018-07-01,ADP,1.0,0.0,0.0,0.0,1.0
2018-07-01,ADS,0.0,0.0,1.0,1.0,1.0
2018-07-01,ADSK,2.0,0.0,1.0,0.0,0.0
2018-07-01,AES,0.0,1.0,0.0,0.0,0.0
2018-07-01,AET,0.0,0.0,0.0,1.0,0.0
2018-07-01,AIG,0.0,0.0,2.0,0.0,0.0
2018-07-01,AJG,0.0,0.0,1.0,0.0,1.0
2018-07-01,AKAM,0.0,0.0,0.0,1.0,0.0
2018-07-01,ALB,0.0,0.0,0.0,1.0,0.0
2018-07-01,ALK,1.0,0.0,0.0,0.0,0.0
2018-07-01,ALL,0.0,0.0,1.0,0.0,0.0
2018-07-01,ALLE,0.0,1.0,0.0,0.0,0.0
2018-07-01,ALXN,0.0,0.0,0.0,1.0,0.0
2018-07-01,AMAT,1.0,0.0,1.0,0.0,1.0
2018-07-01,AMD,9.0,13.0,51.0,22.0,8.0
2018-07-01,AMG,0.0,0.0,1.0,0.0,0.0
2018-07-01,AMGN,2.0,1.0,1.0,0.0,0.0
2018-07-01,AMP,0.0,0.0,1.0,0.0,0.0
2018-07-01,AMZN,2.0,1.0,25.0,6.0,7.0
2018-07-01,ANSS,0.0,0.0,1.0,0.0,0.0
2018-07-01,AON,0.0,0.0,1.0,0.0,0.0
2018-07-01,AOS,1.0,0.0,0.0,0.0,0.0
2018-07-01,APA,0.0,0.0,1.0,0.0,0.0
2018-07-01,APC,0.0,0.0,1.0,0.0,0.0
2018-07-01,APH,0.0,0.0,1.0,0.0,0.0
2018-07-01,ATGE,0.0,0.0,1.0,0.0,0.0
2018-07-01,ATI,0.0,0.0,1.0,0.0,0.0
2018-07-01,ATVI,0.0,0.0,0.0,0.0,1.0
2018-07-01,AVB,0.0,1.0,0.0,0.0,0.0
2018-07-01,AVGO,0.0,1.0,1.0,0.0,1.0
2018-07-01,AVP,0.0,0.0,0.0,0.0,2.0
2018-07-01,AXP,1.0,0.0,1.0,0.0,0.0
2018-07-01,AYI,1.0,1.0,3.0,0.0,0.0
2018-07-01,BA,2.0,0.0,5.0,0.0,1.0
2018-07-01,BAC,1.0,4.0,8.0,3.0,3.0
2018-07-01,BAX,0.0,1.0,0.0,0.0,0.0
2018-07-01,BBBY,0.0,1.0,1.0,0.0,0.0
2018-07-01,BBT,0.0,0.0,1.0,0.0,0.0
2018-07-01,BBY,0.0,0.0,2.0,0.0,0.0
2018-07-01,BDX,0.0,1.0,1.0,0.0,0.0
2018-07-01,BHF,0.0,0.0,0.0,1.0,0.0
2018-07-01,BHGE,0.0,1.0,1.0,0.0,0.0
2018-07-01,BIIB,0.0,0.0,1.0,0.0,0.0
2018-07-01,BK,1.0,0.0,1.0,0.0,0.0
2018-07-01,BLK,0.0,1.0,1.0,0.0,0.0
2018-07-01,BLL,0.0,0.0,1.0,0.0,1.0
2018-07-01,BMS,0.0,0.0,2.0,0.0,0.0
